Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
21,1,0.8700891018544036,0.003861261005531661,7.716452169418335,0.07731050879757637,0.03841214179992676,0.0012209575674744502,20,50,40,"{'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 40}",0.8729112197340002,0.8725701943844493,0.8729112197340002,0.8629078094805047,0.8691450659390633
23,2,0.8698844814752725,0.003942877066783347,9.6524667263031,0.13136500769042858,0.04580292701721191,0.0007981531419256954,20,50,50,"{'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 50}",0.8718881436853473,0.8720018188018642,0.8739342957826531,0.8626804592474707,0.8689176898590268
149,3,0.8698617154355663,0.003360696679643079,9.72794222831726,0.06275754073151726,0.048289918899536134,0.002631827801391209,50,50,50,"{'max_depth': 50, 'min_samples_split': 50, 'n_estimators': 50}",0.8716607934523133,0.8729112197340002,0.8727975446174833,0.8643855859952256,0.8675534333788085
107,3,0.8698617154355663,0.003360696679643079,9.888460302352906,0.08244637890157175,0.04789910316467285,0.0014110095317805722,40,50,50,"{'max_depth': 40, 'min_samples_split': 50, 'n_estimators': 50}",0.8716607934523133,0.8729112197340002,0.8727975446174833,0.8643855859952256,0.8675534333788085
59,5,0.8697935258738575,0.003885892995859804,9.842407274246217,0.08321055621029959,0.04840130805969238,0.0011377791977487616,30,40,50,"{'max_depth': 30, 'min_samples_split': 40, 'n_estimators': 50}",0.8720018188018642,0.8710924178697284,0.8745026713652382,0.8631351597135387,0.8682355616189177
128,6,0.8697934845186536,0.0034871117837349023,6.084095430374146,0.03729204101280891,0.031426858901977536,0.0006304857391149182,50,20,30,"{'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 30}",0.8706377174036604,0.8733659202000682,0.8734795953165851,0.8650676366943276,0.8664165529786266
86,6,0.8697934845186536,0.0034871117837349023,6.101089811325073,0.04348179078845255,0.03202323913574219,0.0006713687592239261,40,20,30,"{'max_depth': 40, 'min_samples_split': 20, 'n_estimators': 30}",0.8706377174036604,0.8733659202000682,0.8734795953165851,0.8650676366943276,0.8664165529786266
34,8,0.8697253544050504,0.003307931663511529,8.223821210861207,0.07316035288703512,0.03999972343444824,0.0009635328000993492,20,80,45,"{'max_depth': 20, 'min_samples_split': 80, 'n_estimators': 45}",0.8698419915880414,0.8720018188018642,0.8733659202000682,0.8637035352961236,0.8697135061391542
65,9,0.8697253027110456,0.0033902320341023242,9.865228986740112,0.08957211294729306,0.048401927947998045,0.0012609824774744264,30,50,50,"{'max_depth': 30, 'min_samples_split': 50, 'n_estimators': 50}",0.8716607934523133,0.8726838695009662,0.8726838695009662,0.8641582357621916,0.8674397453387903
33,10,0.8696798610961414,0.003248592324851316,7.288325595855713,0.07341143074241137,0.03522086143493652,0.0005124168068844337,20,80,40,"{'max_depth': 20, 'min_samples_split': 80, 'n_estimators': 40}",0.8697283164715244,0.8733659202000682,0.8724565192679322,0.8641582357621916,0.8686903137789904
68,11,0.8696343988036354,0.0029389693080746435,5.797647142410279,0.045627366341453195,0.029036283493041992,0.0010651177043075903,30,60,30,"{'max_depth': 30, 'min_samples_split': 60, 'n_estimators': 30}",0.8722291690348982,0.8704103671706264,0.8722291690348982,0.8642719108787087,0.869031377899045
22,11,0.8696343988036354,0.0038124999739226812,8.790530633926391,0.08410884756873292,0.04190740585327148,0.0008983949130511725,20,50,45,"{'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 45}",0.8716607934523133,0.8723428441514153,0.8726838695009662,0.8624531090144367,0.869031377899045
37,13,0.8696343781260334,0.002914296345237321,3.6742786407470702,0.07062383709425867,0.019050741195678712,0.0007967206599633106,20,100,20,"{'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 20}",0.8705240422871433,0.8723428441514153,0.8724565192679322,0.8647266113447766,0.8681218735788995
110,14,0.8696116611956317,0.002943982183194866,5.77302508354187,0.05229482143745964,0.028843212127685546,0.0004887742388777957,40,60,30,"{'max_depth': 40, 'min_samples_split': 60, 'n_estimators': 30}",0.8722291690348982,0.8704103671706264,0.8722291690348982,0.8642719108787087,0.8689176898590268
152,14,0.8696116611956317,0.002943982183194866,5.806469488143921,0.0887567884022913,0.029340076446533202,0.0011133395951768543,50,60,30,"{'max_depth': 50, 'min_samples_split': 60, 'n_estimators': 30}",0.8722291690348982,0.8704103671706264,0.8722291690348982,0.8642719108787087,0.8689176898590268
165,16,0.8695434742186231,0.0029733363192578645,7.232525968551636,0.11041270847241931,0.03133468627929688,0.003004843561839279,50,100,40,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 40}",0.8714334432192793,0.8721154939183813,0.8706377174036604,0.8638172104126407,0.8697135061391542
81,16,0.8695434742186231,0.0029733363192578645,7.384069728851318,0.051602010612216115,0.03451285362243652,0.000585765028600197,30,100,40,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 40}",0.8714334432192793,0.8721154939183813,0.8706377174036604,0.8638172104126407,0.8697135061391542
123,16,0.8695434742186231,0.0029733363192578645,7.511802721023559,0.14867185334294777,0.03641390800476074,0.0009967020760792721,40,100,40,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 40}",0.8714334432192793,0.8721154939183813,0.8706377174036604,0.8638172104126407,0.8697135061391542
113,19,0.8695434612951219,0.004032536761232122,9.730468273162842,0.12245339332756244,0.04689431190490723,0.0011458126343522246,40,60,50,"{'max_depth': 40, 'min_samples_split': 60, 'n_estimators': 50}",0.8726838695009662,0.8702966920541093,0.8734795953165851,0.8621120836648858,0.8691450659390633
155,19,0.8695434612951219,0.004032536761232122,9.93534779548645,0.08284269981933787,0.04590706825256348,0.0010924067924722228,50,60,50,"{'max_depth': 50, 'min_samples_split': 60, 'n_estimators': 50}",0.8726838695009662,0.8702966920541093,0.8734795953165851,0.8621120836648858,0.8691450659390633
58,21,0.8695434302787192,0.004188827427347949,8.850509595870971,0.08120225703369649,0.044311809539794925,0.0015916476594452912,30,40,45,"{'max_depth': 30, 'min_samples_split': 40, 'n_estimators': 45}",0.8727975446174833,0.8697283164715244,0.8747300215982722,0.8626804592474707,0.867780809458845
143,22,0.8695206875013148,0.0038487511344458382,9.841488122940063,0.07097416936532151,0.04819884300231934,0.0012061205231959189,50,40,50,"{'max_depth': 50, 'min_samples_split': 40, 'n_estimators': 50}",0.8716607934523133,0.8712060929862453,0.8741616460156871,0.8631351597135387,0.8674397453387903
101,22,0.8695206875013148,0.0038487511344458382,9.920216703414917,0.04165127770909476,0.04849419593811035,0.0012258868274371644,40,40,50,"{'max_depth': 40, 'min_samples_split': 40, 'n_estimators': 50}",0.8716607934523133,0.8712060929862453,0.8741616460156871,0.8631351597135387,0.8674397453387903
63,24,0.8695206797472143,0.0031306916060610595,7.712625360488891,0.10178638742244542,0.03830251693725586,0.0021276269007216367,30,50,40,"{'max_depth': 30, 'min_samples_split': 50, 'n_estimators': 40}",0.8710924178697284,0.8724565192679322,0.8723428441514153,0.8646129362282596,0.8670986812187358
32,25,0.8694752562252118,0.0036103426337923887,5.503216028213501,0.0570143380696317,0.027042627334594727,0.0005785109380028741,20,80,30,"{'max_depth': 20, 'min_samples_split': 80, 'n_estimators': 30}",0.8707513925201773,0.8726838695009662,0.8721154939183813,0.8626804592474707,0.8691450659390633
147,26,0.8694524798467045,0.0033398629652155267,7.64399676322937,0.05471991647864175,0.037909936904907224,0.0003158487558458012,50,50,40,"{'max_depth': 50, 'min_samples_split': 50, 'n_estimators': 40}",0.8710924178697284,0.8725701943844493,0.8723428441514153,0.8639308855291576,0.8673260572987722
105,26,0.8694524798467045,0.0033398629652155267,7.832547283172607,0.06748435941701615,0.03841643333435059,0.0005397616845092215,40,50,40,"{'max_depth': 40, 'min_samples_split': 50, 'n_estimators': 40}",0.8710924178697284,0.8725701943844493,0.8723428441514153,0.8639308855291576,0.8673260572987722
80,28,0.8694297784245043,0.002959324063357332,5.546975564956665,0.07214999205293589,0.02705097198486328,0.00048725513490924206,30,100,30,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 30}",0.8708650676366944,0.8715471183357963,0.8720018188018642,0.8639308855291576,0.8688040018190086
111,29,0.8694297680857032,0.003768013386171458,7.690802192687988,0.12204365470375919,0.03790740966796875,0.0015119403731545624,40,60,40,"{'max_depth': 40, 'min_samples_split': 60, 'n_estimators': 40}",0.8708650676366944,0.8704103671706264,0.8745026713652382,0.8630214845970217,0.8683492496589359
69,29,0.8694297680857032,0.003768013386171458,7.7202929019927975,0.07820884299368909,0.038210153579711914,0.0013914110972670255,30,60,40,"{'max_depth': 30, 'min_samples_split': 60, 'n_estimators': 40}",0.8708650676366944,0.8704103671706264,0.8745026713652382,0.8630214845970217,0.8683492496589359
153,29,0.8694297680857032,0.003768013386171458,7.936908149719239,0.11736069606442562,0.03861746788024902,0.0013245079281039565,50,60,40,"{'max_depth': 50, 'min_samples_split': 60, 'n_estimators': 40}",0.8708650676366944,0.8704103671706264,0.8745026713652382,0.8630214845970217,0.8683492496589359
148,32,0.8694297499928016,0.003250217204446773,8.627644205093384,0.08935242346115596,0.04388494491577148,0.001810252383826732,50,50,45,"{'max_depth': 50, 'min_samples_split': 50, 'n_estimators': 45}",0.8712060929862453,0.8725701943844493,0.8718881436853473,0.8639308855291576,0.8675534333788085
106,32,0.8694297499928016,0.003250217204446773,8.821780347824097,0.06114078150874976,0.0443018913269043,0.0018450543461318559,40,50,45,"{'max_depth': 40, 'min_samples_split': 50, 'n_estimators': 45}",0.8712060929862453,0.8725701943844493,0.8718881436853473,0.8639308855291576,0.8675534333788085
20,34,0.8694297422387007,0.003460792675793738,5.696501970291138,0.044457606489573344,0.029441261291503908,0.0008918034200145476,20,50,30,"{'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 30}",0.8718881436853473,0.8714334432192793,0.8729112197340002,0.8637035352961236,0.867212369258754
35,35,0.8694070434012009,0.0035353429854021855,9.242152833938599,0.07527901693178712,0.04628934860229492,0.005796265028162746,20,80,50,"{'max_depth': 20, 'min_samples_split': 80, 'n_estimators': 50}",0.8696146413550074,0.8722291690348982,0.8732522450835513,0.8631351597135387,0.8688040018190086
146,36,0.8694069994612967,0.0032712866773566937,5.73790225982666,0.03289892122614173,0.029340362548828124,0.0006618340109677881,50,50,30,"{'max_depth': 50, 'min_samples_split': 50, 'n_estimators': 30}",0.8720018188018642,0.8712060929862453,0.8726838695009662,0.8642719108787087,0.8668713051386994
104,36,0.8694069994612967,0.0032712866773566937,5.905809783935547,0.01617926389545595,0.031438446044921874,0.001261804759947215,40,50,30,"{'max_depth': 40, 'min_samples_split': 50, 'n_estimators': 30}",0.8720018188018642,0.8712060929862453,0.8726838695009662,0.8642719108787087,0.8668713051386994
53,38,0.8694069968765966,0.003323125033199629,10.06441559791565,0.05752544511198881,0.04868621826171875,0.0015087264029613801,30,30,50,"{'max_depth': 30, 'min_samples_split': 30, 'n_estimators': 50}",0.8698419915880414,0.8717744685688302,0.8739342957826531,0.8647266113447766,0.8667576170986813
71,39,0.869384313547298,0.003908440645679899,9.633499765396119,0.11850436003768691,0.04571242332458496,0.0013976582509295538,30,60,50,"{'max_depth': 30, 'min_samples_split': 60, 'n_estimators': 50}",0.8726838695009662,0.8702966920541093,0.8727975446174833,0.8621120836648858,0.869031377899045
164,40,0.8693843083778974,0.0029209531699178597,5.540571832656861,0.06313071388906702,0.027144622802734376,0.000678652115967339,50,100,30,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 30}",0.8708650676366944,0.8715471183357963,0.8717744685688302,0.8639308855291576,0.8688040018190086
122,40,0.8693843083778974,0.0029209531699178597,5.574373722076416,0.05166286585594079,0.028342247009277344,0.0016212227272670591,40,100,30,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 30}",0.8708650676366944,0.8715471183357963,0.8717744685688302,0.8639308855291576,0.8688040018190086
83,42,0.869361563015793,0.003026889346652896,9.164707899093628,0.1258325142595438,0.04411139488220215,0.002498707008345503,30,100,50,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 50}",0.8713197681027623,0.8727975446174833,0.8702966920541093,0.8640445606456747,0.8683492496589359
167,43,0.8693388279924896,0.00302019970880464,7.432479667663574,0.2880870997656716,0.032734918594360354,0.000916033860499738,50,100,50,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 50}",0.8713197681027623,0.8727975446174833,0.8701830169375924,0.8640445606456747,0.8683492496589359
125,43,0.8693388279924896,0.00302019970880464,9.771101427078246,0.18056750458498877,0.04710793495178223,0.007555057908407885,40,100,50,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 50}",0.8713197681027623,0.8727975446174833,0.8701830169375924,0.8640445606456747,0.8683492496589359
142,45,0.8693387995607871,0.004154486914701521,8.823298263549805,0.052528369560565884,0.04409303665161133,0.0007425296775109401,50,40,45,"{'max_depth': 50, 'min_samples_split': 40, 'n_estimators': 45}",0.8726838695009662,0.8698419915880414,0.8743889962487211,0.8626804592474707,0.8670986812187358
100,45,0.8693387995607871,0.004154486914701521,8.898405647277832,0.13837793786543337,0.050493288040161136,0.008706915477339159,40,40,45,"{'max_depth': 40, 'min_samples_split': 40, 'n_estimators': 45}",0.8726838695009662,0.8698419915880414,0.8743889962487211,0.8626804592474707,0.8670986812187358
11,47,0.8693387969760868,0.004166373492411951,9.899600934982299,0.17009959356846255,0.0501976490020752,0.0024142094870893676,20,30,50,"{'max_depth': 20, 'min_samples_split': 30, 'n_estimators': 50}",0.8727975446174833,0.8717744685688302,0.8729112197340002,0.8622257587814027,0.8669849931787176
10,48,0.869270607414378,0.0039120492676260965,8.948350286483764,0.2538534961105396,0.04589619636535645,0.0024700714421877048,20,30,45,"{'max_depth': 20, 'min_samples_split': 30, 'n_estimators': 45}",0.8714334432192793,0.8717744685688302,0.8731385699670342,0.8623394338979198,0.8676671214188267
9,49,0.8692706048296779,0.004029293817187806,8.120909023284913,0.22547818621842808,0.040001535415649415,0.0019990780154917425,20,30,40,"{'max_depth': 20, 'min_samples_split': 30, 'n_estimators': 40}",0.8715471183357963,0.8724565192679322,0.8726838695009662,0.8621120836648858,0.8675534333788085
64,50,0.8692705893214765,0.003201364793636617,8.697998762130737,0.20439731937490457,0.04339103698730469,0.0010056478415339193,30,50,45,"{'max_depth': 30, 'min_samples_split': 50, 'n_estimators': 45}",0.8712060929862453,0.8722291690348982,0.8718881436853473,0.8641582357621916,0.8668713051386994
62,51,0.8692478439593719,0.0034499751817395926,5.833944654464721,0.06596620340873456,0.030233430862426757,0.0011980631614397993,30,50,30,"{'max_depth': 30, 'min_samples_split': 50, 'n_estimators': 30}",0.8720018188018642,0.8712060929862453,0.8726838695009662,0.8639308855291576,0.8664165529786266
137,52,0.8692478413746718,0.003643181281572195,9.895400333404542,0.07535995445684074,0.04966726303100586,0.0011629738496338404,50,30,50,"{'max_depth': 50, 'min_samples_split': 30, 'n_estimators': 50}",0.8706377174036604,0.8717744685688302,0.8737069455496191,0.8638172104126407,0.8663028649386084
95,52,0.8692478413746718,0.003643181281572195,10.24433879852295,0.11868140599555072,0.048497581481933595,0.00019885319277326315,40,30,50,"{'max_depth': 40, 'min_samples_split': 30, 'n_estimators': 50}",0.8706377174036604,0.8717744685688302,0.8737069455496191,0.8638172104126407,0.8663028649386084
112,54,0.8692251554606729,0.004239015095173078,8.638539552688599,0.06850859269026174,0.04309077262878418,0.001744480563592144,40,60,45,"{'max_depth': 40, 'min_samples_split': 60, 'n_estimators': 45}",0.8712060929862453,0.8700693418210753,0.8746163464817551,0.8617710583153347,0.8684629376989541
154,54,0.8692251554606729,0.004239015095173078,8.874607610702515,0.20779426322597289,0.04789667129516602,0.007787739549327055,50,60,45,"{'max_depth': 50, 'min_samples_split': 60, 'n_estimators': 45}",0.8712060929862453,0.8700693418210753,0.8746163464817551,0.8617710583153347,0.8684629376989541
44,56,0.8692250960125675,0.003864003048908908,5.98384051322937,0.06115192922278879,0.03163466453552246,0.001163751653157627,30,20,30,"{'max_depth': 30, 'min_samples_split': 20, 'n_estimators': 30}",0.8701830169375924,0.8727975446174833,0.8735932704331022,0.8637035352961236,0.8658481127785357
99,57,0.8692023920056668,0.0037127884038988604,7.802615547180176,0.05704390272728989,0.03972086906433105,0.0011621089803226436,40,40,40,"{'max_depth': 40, 'min_samples_split': 40, 'n_estimators': 40}",0.8722291690348982,0.8702966920541093,0.8732522450835513,0.8630214845970217,0.867212369258754
141,57,0.8692023920056668,0.0037127884038988604,7.82175841331482,0.10778050931139889,0.03941302299499512,0.0012570279418861155,50,40,40,"{'max_depth': 50, 'min_samples_split': 40, 'n_estimators': 40}",0.8722291690348982,0.8702966920541093,0.8732522450835513,0.8630214845970217,0.867212369258754
74,59,0.8692023764974655,0.004097183201710535,5.56038818359375,0.021542335195444618,0.028042364120483398,0.0009698401545867627,30,80,30,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 30}",0.8696146413550074,0.8730248948505173,0.8739342957826531,0.8629078094805047,0.8665302410186448
116,59,0.8692023764974655,0.004097183201710535,5.639610671997071,0.05547216762598001,0.028439664840698244,0.0005500458842416002,40,80,30,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 30}",0.8696146413550074,0.8730248948505173,0.8739342957826531,0.8629078094805047,0.8665302410186448
158,59,0.8692023764974655,0.004097183201710535,5.652386856079102,0.043046240104062716,0.028640890121459962,0.0012024837686389156,50,80,30,"{'max_depth': 50, 'min_samples_split': 80, 'n_estimators': 30}",0.8696146413550074,0.8730248948505173,0.8739342957826531,0.8629078094805047,0.8665302410186448
145,62,0.8692023739127652,0.0032327464979967826,3.848350763320923,0.02851883033463423,0.021356821060180664,0.0019541261421924527,50,50,20,"{'max_depth': 50, 'min_samples_split': 50, 'n_estimators': 20}",0.8721154939183813,0.8701830169375924,0.8727975446174833,0.8644992611117427,0.8664165529786266
103,62,0.8692023739127652,0.0032327464979967826,3.9625127792358397,0.03480629138729722,0.020359134674072264,0.000489611615431455,40,50,20,"{'max_depth': 40, 'min_samples_split': 50, 'n_estimators': 20}",0.8721154939183813,0.8701830169375924,0.8727975446174833,0.8644992611117427,0.8664165529786266
131,64,0.86917961821186,0.0042428316535388175,10.129831981658935,0.09386916525824641,0.0509918212890625,0.0013227588887428196,50,20,50,"{'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 50}",0.8704103671706264,0.8732522450835513,0.8737069455496191,0.8630214845970217,0.8655070486584812
89,64,0.86917961821186,0.0042428316535388175,10.191785430908203,0.10908852666147943,0.052391433715820314,0.0020904418031737967,40,20,50,"{'max_depth': 40, 'min_samples_split': 20, 'n_estimators': 50}",0.8704103671706264,0.8732522450835513,0.8737069455496191,0.8630214845970217,0.8655070486584812
82,66,0.8691342179521595,0.0031371347971135585,8.273282337188721,0.10724175812796123,0.04012141227722168,0.0024197203974892956,30,100,45,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8705240422871433,0.8633625099465727,0.8685766257389722
70,67,0.8691342101980588,0.004190549386308187,8.641058158874511,0.07153890643253183,0.04210681915283203,0.0015940206428650381,30,60,45,"{'max_depth': 30, 'min_samples_split': 60, 'n_estimators': 45}",0.8712060929862453,0.8700693418210753,0.8743889962487211,0.8617710583153347,0.8682355616189177
73,68,0.8691342024439581,0.003876860622596176,3.7601845264434814,0.01538166598489704,0.0200592041015625,0.0006602022626366674,30,80,20,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
157,68,0.8691342024439581,0.003876860622596176,3.785448360443115,0.034789303550205056,0.021555185317993164,0.003191351923960912,50,80,20,"{'max_depth': 50, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
115,68,0.8691342024439581,0.003876860622596176,3.8517844676971436,0.06033787715562935,0.01915454864501953,0.0003961782812088207,40,80,20,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
166,71,0.8691114829288562,0.003127376997279382,7.561415433883667,0.13052529553954814,0.03230547904968262,0.0014788978275705959,50,100,45,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8704103671706264,0.8633625099465727,0.8685766257389722
124,71,0.8691114829288562,0.003127376997279382,8.473128700256348,0.07475616675811377,0.03951597213745117,0.0004832103401597557,40,100,45,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8704103671706264,0.8633625099465727,0.8685766257389722
75,73,0.8690887117197494,0.004266107359982108,7.446767902374267,0.058724672977134025,0.036113929748535153,0.0007446565675434469,30,80,40,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 40}",0.8695009662384904,0.8731385699670342,0.8737069455496191,0.8621120836648858,0.8669849931787176
117,73,0.8690887117197494,0.004266107359982108,7.5721770286560055,0.12010016310702082,0.03831124305725098,0.0015839226647247101,40,80,40,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 40}",0.8695009662384904,0.8731385699670342,0.8737069455496191,0.8621120836648858,0.8669849931787176
159,73,0.8690887117197494,0.004266107359982108,7.590509939193725,0.10606169595393707,0.03960118293762207,0.0033604084414343687,50,80,40,"{'max_depth': 50, 'min_samples_split': 80, 'n_estimators': 40}",0.8695009662384904,0.8731385699670342,0.8737069455496191,0.8621120836648858,0.8669849931787176
57,76,0.869065976696446,0.0036882822720395473,7.896296405792237,0.05513471871654545,0.04060649871826172,0.0011632659682950977,30,40,40,"{'max_depth': 30, 'min_samples_split': 40, 'n_estimators': 40}",0.8715471183357963,0.8702966920541093,0.8734795953165851,0.8630214845970217,0.8669849931787176
79,77,0.8690432623507446,0.0028706764415596755,3.724907875061035,0.02677839034555282,0.018861818313598632,0.00020256109830237885,30,100,20,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 20}",0.8709787427532113,0.8706377174036604,0.8717744685688302,0.8639308855291576,0.8678944974988632
121,77,0.8690432623507446,0.0028706764415596755,3.735496234893799,0.048404619159986215,0.01876044273376465,0.0007448432231154238,40,100,20,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 20}",0.8709787427532113,0.8706377174036604,0.8717744685688302,0.8639308855291576,0.8678944974988632
163,77,0.8690432623507446,0.0028706764415596755,3.7818945407867433,0.05949707861586884,0.01906113624572754,0.0006609186874660673,50,100,20,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 20}",0.8709787427532113,0.8706377174036604,0.8717744685688302,0.8639308855291576,0.8678944974988632
77,80,0.868997794888838,0.004021427899379966,9.349984645843506,0.0691805908382124,0.046906900405883786,0.002547538977073351,30,80,50,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 50}",0.8691599408889394,0.8725701943844493,0.8732522450835513,0.8619984085483687,0.8680081855388813
119,80,0.868997794888838,0.004021427899379966,9.395471096038818,0.09348044467967398,0.045993709564208986,0.00263750865192552,40,80,50,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 50}",0.8691599408889394,0.8725701943844493,0.8732522450835513,0.8619984085483687,0.8680081855388813
161,80,0.868997794888838,0.004021427899379966,9.533913087844848,0.05700609756729809,0.04471068382263184,0.0006822314275639658,50,80,50,"{'max_depth': 50, 'min_samples_split': 80, 'n_estimators': 50}",0.8691599408889394,0.8725701943844493,0.8732522450835513,0.8619984085483687,0.8680081855388813
38,83,0.8689750779584363,0.003244655483702618,5.65093469619751,0.10489860435272229,0.027242517471313475,0.0009236621630709609,20,100,30,"{'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 30}",0.8702966920541093,0.8714334432192793,0.8715471183357963,0.8627941343639878,0.8688040018190086
